124,Gudaguda Fairies II,1,2,0,2013,
125,Hakkeden: Touhou Hakken Ibun,1,2,0,2013,
126,Hetalia: The Beautiful World,1,2,0,2013,
127,Puchimas! -Petit iDOLM@STER-,1,2,0,2013,
128,Savanna Game,1,2,0,2013,
129,Train Hero,1,2,0,2013,
130,Yama no Susume,1,2,0,2013,
131,Youkai Watch,1,2,0,2013,
132,DATE A LIVE,3,3,1,2013,
133,Haiyore! Nyaruko-san W,3,3,1,2013,
134,RDG: Red Data Girl,3,3,1,2013,
135,Aiura,3,2,1,2013,
136,Hataraku Maou-sama!,3,2,1,2013,
137,Hayate no Gotoku! Cuties,3,2,1,2013,
138,Hentai Ouji to Warawanai Neko,3,2,1,2013,
139,Photo Kano,3,2,1,2013,
140,Yahari Ore no Seishun Love Come wa Machigatteiru.,3,2,1,2013,
141,Shingeki no Kyojin,3,1,1,2013,
142,Ore no Imouto ga Konnani Kawaii Wake ga Nai - Dai 2-ki,3,3,1,2013,
143,Toaru Kagaku no Railgun S,3,3,1,2013,
144,Suisei no Gargantia,2,1,1,2013,
145,Aku no Hana,1,2,1,2013,
146,Yuyushiki,1,2,1,2013,
147,Dansai Bunri no Crime Edge,1,2,1,2013,
148,Haitai Nanafa (2013),1,2,1,2013,
149,Hyakka Ryouran: Samurai Bride,1,2,1,2013,
150,Pretty Rhythm: Dear My Future,1,2,1,2013,
151,Sparrow`s Hotel,1,2,1,2013,
152,Zettai Boei Leviathan,1,2,1,2013,
153,Kakumeiki Valvrave,1,1,1,2013,
154,Kitakubu Katsud? Kiroku,3,3,2,2013,
155,Love Lab,3,3,2,2013,WAITING FOR BDs
156,Ro-Kyu-Bu!  SS,3,3,2,2013,WAITING FOR BDs
157,Servant x Service,3,3,2,2013,
158,Kamisama no Inai Nichiyoubi,3,2,2,2013,
159,Kimi no Iru Machi,3,2,2,2013,
160,Kin-iro Mosaic,3,2,2,2013,
161,Stella Jogakuin Koutou-ka C3-bu,3,2,2,2013,
162,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui,3,2,2,2013,
163,Fantasista Dol,3,1,2,2013,
164,Danganronpa The Animation,3,2,2,2013,
165,Teekyu S2,3,2,2,2013,
166,Highschool DxD New,3,2,2,2013,
167,Blood Lad,1,3,2,2013,
168,Brother's Conflict,1,2,2,2013,
169,Hyperdimension Neptunia,1,2,2,2013,WAIT FOR COMMIE BD
170,Inu to Hasami,1,2,2,2013,
171,Kami Nomi zo Shiru Sekai III: Goddesses Arc,1,2,2,2013,
172,Makai Ouji: Devils and Realist,1,2,2,2013,
173,Senyuu. 2,1,2,2,2013,
174,Silver Spoon,1,2,2,2013,
175,Tamayura - More Aggressive,2,2,2,2013,
176,Monogatari Series: Second Season / Kabukimonogatari,1,2,2,2013,
177,Recorder and Ransell Mi,1,2,2,2013,
178,Fate/kaleid liner Prisma Illya,1,1,2,2013,SPINOFF - DOWNLOAD FATE/STAY NIGHT FIRST
179,Genshiken Nidaime,1,1,2,2013,DOWNLOAD 2 PREQUELS Genshiken & Genshiken 2
180,Uchouten Kazoku,1,1,2,2013,
181,Kyouka no Kanata,3,3,3,2013,
182,Little Busters: Refrain,3,3,3,2013,
183,"Golden Time [ROM, COM]",3,3,3,2013,
184,Non Non Biyori,3,2,3,2013,
185,"Ore no Nounai Sentakushi ga, Gakuen Love Come o Zenryoku de Jama Shiteiru",3,2,3,2013,
186,Outbreak Company - Moeru Shinryakusha,3,2,3,2013,
187,Yozakura Quartet: Hana no Uta,3,2,3,2013,
188,Kill la Kill,3,2,3,2013,
189,Log Horizon,3,2,3,2013,
190,Yuusha ni Narenakatta Ore wa Shibushibu Shuushoku o Ketsui Shimashita,3,2,3,2013,
191,IS : Infinite Stratos 2,3,3,3,2013,WAIT FOR FFF BD
192,Magi (2013),3,2,3,2013,
193,White Album 2,2,2,3,2013,
194,Aoki Hagane no Arpeggio: Ars Nova,1,2,3,2013,
195,COPPELION,1,2,3,2013,
196,Freezing Vibration,1,2,3,2013,
197,Gingitsune,1,2,3,2013,
198,Miss Monochrome,1,2,3,2013,
199,Sekai de Ichiban Tsuyoku Naritai!,1,2,3,2013,
200,Unbreakable Machine-doll,1,2,3,2013,
201,Tokyo Ravens,3,1,3,2013,
202,Nagi no Asukara,1,2,3,2013,WAIT FOR CG BD
203,Strike the Blood,1,2,3,2013,WAIT FOR FFF / RPYLEOH BD
204,Super Seishun Brothers,1,2,3,2013,
205,Tesagure! Bukatsumono,1,2,3,2013,
206,Phi Brain: Kami no Puzzle (2013),1,1,3,2013,
207,Chuunibyou demo Koi ga Shitai II,3,3,0,2014,
208,"Saikin, Im?to no Y?su ga Chotto Okaishiin Da Ga.",3,3,0,2014,
209,Witch Craft Works,3,3,0,2014,
210,Sakura Trick,3,3,0,2014,
211,Saki: Zenkoku-hen,3,3,0,2014,
212,Seitokai Yakuindomo 2,3,3,0,2014,
213,Nisekoi,3,2,0,2014,
214,Oneechan ga Kita,3,2,0,2014,
215,Mikakunin de Shink?kei,3,2,0,2014,
216,Tonari no Seki-kun,2,2,0,2014,
217,"Inari, Konkon, Koi Iroha",1,3,0,2014,
218,Toaru Hikuushi e no Koiuta,1,3,0,2014,
219,D-Frag!,3,2,0,2014,
220,Maken Ki! Two,1,2,0,2014,
221,Nourin,1,2,0,2014,
222,Silver Spoon Season 2,1,2,0,2014,
